pau pau
R pau
sil sil
inhale inhale
br inhale
exhale exhale
vf vf
a a
i i
u u
oo oo
e e
ae ae
ia ia
ua ua
ooa ooa
o o
oh oh
eh eh
ai ai
ao ao
N N
M M
NG NG
gcl gcl
bcl bcl
dcl dcl
ga g a
gi g i
jad j a dcl
jid j i dcl
jud j u dcl
jood j oo dcl
jed j e dcl
jaed j ae dcl
jiad j ia dcl
juad j ua dcl
jooad j ooa dcl
jod j o dcl
johd j oh dcl
jehd j eh dcl
jaid j ai dcl
jaod j ao dcl
jab j a bcl
jib j i bcl
jub j u bcl
joob j oo bcl
jeb j e bcl
jaeb j ae bcl
jiab j ia bcl
juab j ua bcl
jooab j ooa bcl
job j o bcl
johb j oh bcl
jehb j eh bcl
jaib j ai bcl
jaob j ao bcl
jag j a gcl
jig j i gcl
jug j u gcl
joog j oo gcl
jeg j e gcl
jaeg j ae gcl
jiag j ia gcl
juag j ua gcl
jooag j ooa gcl
jog j o gcl
johg j oh gcl
jehg j eh gcl
jaig j ai gcl
jaog j ao gcl
sha sh a
shi sh i
shu sh u
shoo sh oo
she sh e
shae sh ae
shia sh ia
shua sh ua
shooa sh ooa
sho sh o
shoh sh oh
sheh sh eh
shai sh ai
shao sh ao
shaw sh a w
shiw sh i w
shuw sh u w
shoow sh oo w
shew sh e w
shaew sh ae w
shiaw sh ia w
shuaw sh ua w
shooaw sh ooa w
show sh o w
shohw sh oh w
shehw sh eh w
shaiw sh ai w
shaow sh ao w
shal sh a l
shil sh i l
shul sh u l
shool sh oo l
shel sh e l
shael sh ae l
shial sh ia l
shual sh ua l
shooal sh ooa l
shol sh o l
shohl sh oh l
shehl sh eh l
shail sh ai l
shaol sh ao l
shan sh a N
shin sh i N
shun sh u N
shoon sh oo N
shen sh e N
shaen sh ae N
shian sh ia N
shuan sh ua N
shooan sh ooa N
shon sh o N
shohn sh oh N
shehn sh eh N
shain sh ai N
shaon sh ao N
sham sh a M
shim sh i M
shum sh u M
shoom sh oo M
shem sh e M
shaem sh ae M
shiam sh ia M
shuam sh ua M
shooam sh ooa M
shom sh o M
shohm sh oh M
shehm sh eh M
shaim sh ai M
shaom sh ao M
shang sh a NG
shing sh i NG
shung sh u NG
shoong sh oo NG
sheng sh e NG
shaeng sh ae NG
shiang sh ia NG
shuang sh ua NG
shooang sh ooa NG
shong sh o NG
shohng sh oh NG
shehng sh eh NG
shaing sh ai NG
shaong sh ao NG
shad sh a dcl
shid sh i dcl
shud sh u dcl
shood sh oo dcl
shed sh e dcl
shaed sh ae dcl
shiad sh ia dcl
shuad sh ua dcl
shooad sh ooa dcl
shod sh o dcl
shohd sh oh dcl
shehd sh eh dcl
shaid sh ai dcl
shaod sh ao dcl
shab sh a bcl
shib sh i bcl
shub sh u bcl
shoob sh oo bcl
sheb sh e bcl
shaeb sh ae bcl
shiab sh ia bcl
shuab sh ua bcl
shooab sh ooa bcl
shob sh o bcl
shohb sh oh bcl
shehb sh eh bcl
shaib sh ai bcl
shaob sh ao bcl
shag sh a gcl
shig sh i gcl
shug sh u gcl
shoog sh oo gcl
sheg sh e gcl
shaeg sh ae gcl
shiag sh ia gcl
shuag sh ua gcl
shooag sh ooa gcl
shog sh o gcl
shohg sh oh gcl
shehg sh eh gcl
shaig sh ai gcl
shaog sh ao gcl
sa s a
si s i
su s u
soo s oo
se s e
sae s ae
sia s ia
sua s ua
sooa s ooa
so s o
soh s oh
seh s eh
sai s ai
sao s ao
saw s a w
siw s i w
suw s u w
soow s oo w
sew s e w
saew s ae w
siaw s ia w
suaw s ua w
sooaw s ooa w
sow s o w
sohw s oh w
sehw s eh w
saiw s ai w
saow s ao w
sal s a l
sil s i l
sul s u l
sool s oo l
sel s e l
sael s ae l
sial s ia l
sual s ua l
sooal s ooa l
sol s o l
sohl s oh l
sehl s eh l
sail s ai l
saol s ao l
san s a N
sin s i N
sun s u N
soon s oo N
sen s e N
saen s ae N
sian s ia N
suan s ua N
sooan s ooa N
son s o N
sohn s oh N
sehn s eh N
sain s ai N
saon s ao N
sam s a M
sim s i M
sum s u M
soom s oo M
sem s e M
saem s ae M
siam s ia M
suam s ua M
sooam s ooa M
som s o M
sohm s oh M
sehm s eh M
saim s ai M
saom s ao M
sang s a NG
sing s i NG
sung s u NG
soong s oo NG
seng s e NG
saeng s ae NG
siang s ia NG
suang s ua NG
sooang s ooa NG
song s o NG
sohng s oh NG
sehng s eh NG
saing s ai NG
saong s ao NG
sad s a dcl
sid s i dcl
sud s u dcl
sood s oo dcl
sed s e dcl
saed s ae dcl
siad s ia dcl
suad s ua dcl
sooad s ooa dcl
sod s o dcl
sohd s oh dcl
sehd s eh dcl
said s ai dcl
saod s ao dcl
sab s a bcl
sib s i bcl
sub s u bcl
soob s oo bcl
seb s e bcl
saeb s ae bcl
siab s ia bcl
suab s ua bcl
sooab s ooa bcl
sob s o bcl
sohb s oh bcl
sehb s eh bcl
saib s ai bcl
saob s ao bcl
sag s a gcl
sig s i gcl
sug s u gcl
soog s oo gcl
seg s e gcl
saeg s ae gcl
siag s ia gcl
suag s ua gcl
sooag s ooa gcl
sog s o gcl
sohg s oh gcl
sehg s eh gcl
saig s ai gcl
saog s ao gcl
da d a
di d i
du d u
doo d oo
de d e
dae d ae
dia d ia
dua d ua
dooa d ooa
do d o
doh d oh
deh d eh
dai d ai
dao d ao
daw d a w
diw d i w
duw d u w
doow d oo w
dew d e w
daew d ae w
diaw d ia w
duaw d ua w
dooaw d ooa w
dow d o w
dohw d oh w
dehw d eh w
daiw d ai w
daow d ao w
dal d a l
dil d i l
dul d u l
dool d oo l
del d e l
dael d ae l
dial d ia l
dual d ua l
dooal d ooa l
dol d o l
dohl d oh l
dehl d eh l
dail d ai l
daol d ao l
dan d a N
din d i N
dun d u N
doon d oo N
den d e N
daen d ae N
dian d ia N
duan d ua N
dooan d ooa N
don d o N
dohn d oh N
dehn d eh N
dain d ai N
daon d ao N
dam d a M
dim d i M
dum d u M
doom d oo M
dem d e M
daem d ae M
diam d ia M
duam d ua M
dooam d ooa M
dom d o M
dohm d oh M
dehm d eh M
daim d ai M
daom d ao M
dang d a NG
ding d i NG
dung d u NG
doong d oo NG
deng d e NG
daeng d ae NG
diang d ia NG
duang d ua NG
dooang d ooa NG
dong d o NG
dohng d oh NG
dehng d eh NG
daing d ai NG
daong d ao NG
dad d a dcl
did d i dcl
dud d u dcl
dood d oo dcl
ded d e dcl
daed d ae dcl
diad d ia dcl
duad d ua dcl
dooad d ooa dcl
dod d o dcl
dohd d oh dcl
dehd d eh dcl
daid d ai dcl
daod d ao dcl
dab d a bcl
dib d i bcl
dub d u bcl
doob d oo bcl
deb d e bcl
daeb d ae bcl
diab d ia bcl
duab d ua bcl
dooab d ooa bcl
dob d o bcl
dohb d oh bcl
dehb d eh bcl
daib d ai bcl
daob d ao bcl
dag d a gcl
dig d i gcl
dug d u gcl
doog d oo gcl
deg d e gcl
daeg d ae gcl
diag d ia gcl
duag d ua gcl
dooag d ooa gcl
dog d o gcl
dohg d oh gcl
dehg d eh gcl
daig d ai gcl
daog d ao gcl
ta t a
ti t i
tu t u
too t oo
te t e
tae t ae
tia t ia
tua t ua
tooa t ooa
to t o
toh t oh
teh t eh
tai t ai
tao t ao
taw t a w
tiw t i w
tuw t u w
toow t oo w
tew t e w
taew t ae w
tiaw t ia w
tuaw t ua w
tooaw t ooa w
tow t o w
tohw t oh w
tehw t eh w
taiw t ai w
taow t ao w
tal t a l
til t i l
tul t u l
tool t oo l
tel t e l
tael t ae l
tial t ia l
tual t ua l
tooal t ooa l
tol t o l
tohl t oh l
tehl t eh l
tail t ai l
taol t ao l
tan t a N
tin t i N
tun t u N
toon t oo N
ten t e N
taen t ae N
tian t ia N
tuan t ua N
tooan t ooa N
ton t o N
tohn t oh N
tehn t eh N
tain t ai N
taon t ao N
tam t a M
tim t i M
tum t u M
toom t oo M
tem t e M
taem t ae M
tiam t ia M
tuam t ua M
tooam t ooa M
tom t o M
tohm t oh M
tehm t eh M
taim t ai M
taom t ao M
tang t a NG
ting t i NG
tung t u NG
toong t oo NG
teng t e NG
taeng t ae NG
tiang t ia NG
tuang t ua NG
tooang t ooa NG
tong t o NG
tohng t oh NG
tehng t eh NG
taing t ai NG
taong t ao NG
tad t a dcl
tid t i dcl
tud t u dcl
tood t oo dcl
ted t e dcl
taed t ae dcl
tiad t ia dcl
tuad t ua dcl
tooad t ooa dcl
tod t o dcl
tohd t oh dcl
tehd t eh dcl
taid t ai dcl
taod t ao dcl
tab t a bcl
tib t i bcl
tub t u bcl
toob t oo bcl
teb t e bcl
taeb t ae bcl
tiab t ia bcl
tuab t ua bcl
tooab t ooa bcl
tob t o bcl
tohb t oh bcl
tehb t eh bcl
taib t ai bcl
taob t ao bcl
tag t a gcl
tig t i gcl
tug t u gcl
toog t oo gcl
teg t e gcl
taeg t ae gcl
tiag t ia gcl
tuag t ua gcl
tooag t ooa gcl
tog t o gcl
tohg t oh gcl
tehg t eh gcl
taig t ai gcl
taog t ao gcl
tha th a
thi th i
thu th u
thoo th oo
the th e
thae th ae
thia th ia
thua th ua
thooa th ooa
tho th o
thoh th oh
theh th eh
thai th ai
thao th ao
thaw th a w
thiw th i w
thuw th u w
thoow th oo w
thew th e w
thaew th ae w
thiaw th ia w
thuaw th ua w
thooaw th ooa w
thow th o w
thohw th oh w
thehw th eh w
thaiw th ai w
thaow th ao w
thal th a l
thil th i l
thul th u l
thool th oo l
thel th e l
thael th ae l
thial th ia l
thual th ua l
thooal th ooa l
thol th o l
thohl th oh l
thehl th eh l
thail th ai l
thaol th ao l
than th a N
thin th i N
thun th u N
thoon th oo N
then th e N
thaen th ae N
thian th ia N
thuan th ua N
thooan th ooa N
thon th o N
thohn th oh N
thehn th eh N
thain th ai N
thaon th ao N
tham th a M
thim th i M
thum th u M
thoom th oo M
them th e M
thaem th ae M
thiam th ia M
thuam th ua M
thooam th ooa M
thom th o M
thohm th oh M
thehm th eh M
thaim th ai M
thaom th ao M
thang th a NG
thing th i NG
thung th u NG
thoong th oo NG
theng th e NG
thaeng th ae NG
thiang th ia NG
thuang th ua NG
thooang th ooa NG
thong th o NG
thohng th oh NG
thehng th eh NG
thaing th ai NG
thaong th ao NG
thad th a dcl
thid th i dcl
thud th u dcl
thood th oo dcl
thed th e dcl
thaed th ae dcl
thiad th ia dcl
thuad th ua dcl
thooad th ooa dcl
thod th o dcl
thohd th oh dcl
thehd th eh dcl
thaid th ai dcl
thaod th ao dcl
thab th a bcl
thib th i bcl
thub th u bcl
thoob th oo bcl
theb th e bcl
thaeb th ae bcl
thiab th ia bcl
thuab th ua bcl
thooab th ooa bcl
thob th o bcl
thohb th oh bcl
thehb th eh bcl
thaib th ai bcl
thaob th ao bcl
thag th a gcl
thig th i gcl
thug th u gcl
thoog th oo gcl
theg th e gcl
thaeg th ae gcl
thiag th ia gcl
thuag th ua gcl
thooag th ooa gcl
thog th o gcl
thohg th oh gcl
thehg th eh gcl
thaig th ai gcl
thaog th ao gcl
na n a
ni n i
nu n u
noo n oo
ne n e
nae n ae
nia n ia
nua n ua
nooa n ooa
no n o
noh n oh
neh n eh
nai n ai
nao n ao
naw n a w
niw n i w
nuw n u w
noow n oo w
new n e w
naew n ae w
niaw n ia w
nuaw n ua w
nooaw n ooa w
now n o w
nohw n oh w
nehw n eh w
naiw n ai w
naow n ao w
nal n a l
nil n i l
nul n u l
nool n oo l
nel n e l
nael n ae l
nial n ia l
nual n ua l
nooal n ooa l
nol n o l
nohl n oh l
nehl n eh l
nail n ai l
naol n ao l
nan n a N
nin n i N
nun n u N
noon n oo N
nen n e N
naen n ae N
nian n ia N
nuan n ua N
nooan n ooa N
non n o N
nohn n oh N
nehn n eh N
nain n ai N
naon n ao N
nam n a M
nim n i M
num n u M
noom n oo M
nem n e M
naem n ae M
niam n ia M
nuam n ua M
nooam n ooa M
nom n o M
nohm n oh M
nehm n eh M
naim n ai M
naom n ao M
nang n a NG
ning n i NG
nung n u NG
noong n oo NG
neng n e NG
naeng n ae NG
niang n ia NG
nuang n ua NG
nooang n ooa NG
nong n o NG
nohng n oh NG
nehng n eh NG
naing n ai NG
naong n ao NG
nad n a dcl
nid n i dcl
nud n u dcl
nood n oo dcl
ned n e dcl
naed n ae dcl
niad n ia dcl
nuad n ua dcl
nooad n ooa dcl
nod n o dcl
nohd n oh dcl
nehd n eh dcl
naid n ai dcl
naod n ao dcl
nab n a bcl
nib n i bcl
nub n u bcl
noob n oo bcl
neb n e bcl
naeb n ae bcl
